Input Board,decision,Output Board,Input Graph,Output Graph
OXO   OXX,5,OXO X OXX,"[[2, 1, 2], [0, 0, 0], [2, 1, 1]]","[[2, 1, 2], [0, 1, 0], [2, 1, 1]]"
XO X  O  ,5,XO XX O  ,"[[1, 2, 0], [1, 0, 0], [2, 0, 0]]","[[1, 2, 0], [1, 1, 0], [2, 0, 0]]"
XXO OO XX,4,XXOOOO XX,"[[1, 1, 2], [0, 2, 2], [0, 1, 1]]","[[1, 1, 2], [2, 2, 2], [0, 1, 1]]"
X   O OXX,3,X O O OXX,"[[1, 0, 0], [0, 2, 0], [2, 1, 1]]","[[1, 0, 2], [0, 2, 0], [2, 1, 1]]"
O XXOXXO ,2,OOXXOXXO ,"[[2, 0, 1], [1, 2, 1], [1, 2, 0]]","[[2, 2, 1], [1, 2, 1], [1, 2, 0]]"
O O XXXO ,4,O OXXXXO ,"[[2, 0, 2], [0, 1, 1], [1, 2, 0]]","[[2, 0, 2], [1, 1, 1], [1, 2, 0]]"
OX  XX OO,4,OX XXX OO,"[[2, 1, 0], [0, 1, 1], [0, 2, 2]]","[[2, 1, 0], [1, 1, 1], [0, 2, 2]]"
   O   X ,1,X  O   X ,"[[0, 0, 0], [2, 0, 0], [0, 1, 0]]","[[1, 0, 0], [2, 0, 0], [0, 1, 0]]"
XOXOO XXO,6,XOXOOXXXO,"[[1, 2, 1], [2, 2, 0], [1, 1, 2]]","[[1, 2, 1], [2, 2, 1], [1, 1, 2]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 OXOX O X,1,XOXOX O X,"[[0, 2, 1], [2, 1, 0], [2, 0, 1]]","[[1, 2, 1], [2, 1, 0], [2, 0, 1]]"
    X   O,9,    X   X,"[[0, 0, 0], [0, 1, 0], [0, 0, 2]]","[[0, 0, 0], [0, 1, 0], [0, 0, 1]]"
X X  O O ,2,XXX  O O ,"[[1, 0, 1], [0, 0, 2], [0, 2, 0]]","[[1, 1, 1], [0, 0, 2], [0, 2, 0]]"
O XXO X  ,9,O XXO X O,"[[2, 0, 1], [1, 2, 0], [1, 0, 0]]","[[2, 0, 1], [1, 2, 0], [1, 0, 2]]"
OX  X  O ,7,OX  X XO ,"[[2, 1, 0], [0, 1, 0], [0, 2, 0]]","[[2, 1, 0], [0, 1, 0], [1, 2, 0]]"
  XO  X O,5,  XOX X O,"[[0, 0, 1], [2, 0, 0], [1, 0, 2]]","[[0, 0, 1], [2, 1, 0], [1, 0, 2]]"
OXX OX   ,9,OXX OX  O,"[[2, 1, 1], [0, 2, 1], [0, 0, 0]]","[[2, 1, 1], [0, 2, 1], [0, 0, 2]]"
 XXX  OO ,9, XXX  OOO,"[[0, 1, 1], [1, 0, 0], [2, 2, 0]]","[[0, 1, 1], [1, 0, 0], [2, 2, 2]]"
O  X    X,7,O  X  O X,"[[2, 0, 0], [1, 0, 0], [0, 0, 1]]","[[2, 0, 0], [1, 0, 0], [2, 0, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
  XO   OX,6,  XO X OX,"[[0, 0, 1], [2, 0, 0], [0, 2, 1]]","[[0, 0, 1], [2, 0, 1], [0, 2, 1]]"
  XOOXX  ,9,  XOOXX O,"[[0, 0, 1], [2, 2, 1], [1, 0, 0]]","[[0, 0, 1], [2, 2, 1], [1, 0, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
OX   XOXO,5,OX  XXOXO,"[[2, 1, 0], [0, 0, 1], [2, 1, 2]]","[[2, 1, 0], [0, 1, 1], [2, 1, 2]]"
O XXO  X ,9,O XXO  XO,"[[2, 0, 1], [1, 2, 0], [0, 1, 0]]","[[2, 0, 1], [1, 2, 0], [0, 1, 2]]"
X  XXOO  ,9,X  XXOO O,"[[1, 0, 0], [1, 1, 2], [2, 0, 0]]","[[1, 0, 0], [1, 1, 2], [2, 0, 2]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 XX OOOX ,1,XXX OOOX ,"[[0, 1, 1], [0, 2, 2], [2, 1, 0]]","[[1, 1, 1], [0, 2, 2], [2, 1, 0]]"
X      O ,7,X     XO ,"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 0], [0, 0, 0], [1, 2, 0]]"
   OOXXXO,1,X  OOXXXO,"[[0, 0, 0], [2, 2, 1], [1, 1, 2]]","[[1, 0, 0], [2, 2, 1], [1, 1, 2]]"
 O X X   ,5, O XOX   ,"[[0, 2, 0], [1, 0, 1], [0, 0, 0]]","[[0, 2, 0], [1, 2, 1], [0, 0, 0]]"
O OXXO X ,2,OXOXXO X ,"[[2, 0, 2], [1, 1, 2], [0, 1, 0]]","[[2, 1, 2], [1, 1, 2], [0, 1, 0]]"
     O  X,1,X    O  X,"[[0, 0, 0], [0, 0, 2], [0, 0, 1]]","[[1, 0, 0], [0, 0, 2], [0, 0, 1]]"
O    X   ,1,X    X   ,"[[2, 0, 0], [0, 0, 1], [0, 0, 0]]","[[1, 0, 0], [0, 0, 1], [0, 0, 0]]"
 O X     ,3, OXX     ,"[[0, 2, 0], [1, 0, 0], [0, 0, 0]]","[[0, 2, 1], [1, 0, 0], [0, 0, 0]]"
 X   O   ,7, X   OX  ,"[[0, 1, 0], [0, 0, 2], [0, 0, 0]]","[[0, 1, 0], [0, 0, 2], [1, 0, 0]]"
XXOO XOOX,5,XXOOXXOOX,"[[1, 1, 2], [2, 0, 1], [2, 2, 1]]","[[1, 1, 2], [2, 1, 1], [2, 2, 1]]"
X X   OO ,2,XXX   OO ,"[[1, 0, 1], [0, 0, 0], [2, 2, 0]]","[[1, 1, 1], [0, 0, 0], [2, 2, 0]]"
 XOOXX  O,8, XOOXX XO,"[[0, 1, 2], [2, 1, 1], [0, 0, 2]]","[[0, 1, 2], [2, 1, 1], [0, 1, 2]]"
 XXO XO O,1,XXXO XO O,"[[0, 1, 1], [2, 0, 1], [2, 0, 2]]","[[1, 1, 1], [2, 0, 1], [2, 0, 2]]"
XOOX  OX ,5,XOOXX OX ,"[[1, 2, 2], [1, 0, 0], [2, 1, 0]]","[[1, 2, 2], [1, 1, 0], [2, 1, 0]]"
 O O X  X,3, OXO X  X,"[[0, 2, 0], [2, 0, 1], [0, 0, 1]]","[[0, 2, 1], [2, 0, 1], [0, 0, 1]]"
 X  OOX  ,4, X XOOX  ,"[[0, 1, 0], [0, 2, 2], [1, 0, 0]]","[[0, 1, 0], [1, 2, 2], [1, 0, 0]]"
O   X X  ,3,O O X X  ,"[[2, 0, 0], [0, 1, 0], [1, 0, 0]]","[[2, 0, 2], [0, 1, 0], [1, 0, 0]]"
XO O X XO,5,XO OXX XO,"[[1, 2, 0], [2, 0, 1], [0, 1, 2]]","[[1, 2, 0], [2, 1, 1], [0, 1, 2]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 OX  X  O,5, OX XX  O,"[[0, 2, 1], [0, 0, 1], [0, 0, 2]]","[[0, 2, 1], [0, 1, 1], [0, 0, 2]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
 X  XOX O,3, XO XOX O,"[[0, 1, 0], [0, 1, 2], [1, 0, 2]]","[[0, 1, 2], [0, 1, 2], [1, 0, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 O    X  ,7, O    X  ,"[[0, 2, 0], [0, 0, 0], [1, 0, 0]]","[[0, 2, 0], [0, 0, 0], [1, 0, 0]]"
 XO OX   ,7, XO OXX  ,"[[0, 1, 2], [0, 2, 1], [0, 0, 0]]","[[0, 1, 2], [0, 2, 1], [1, 0, 0]]"
 O  XOX  ,3, OX XOX  ,"[[0, 2, 0], [0, 1, 2], [1, 0, 0]]","[[0, 2, 1], [0, 1, 2], [1, 0, 0]]"
XOX  OXXO,4,XOXO OXXO,"[[1, 2, 1], [0, 0, 2], [1, 1, 2]]","[[1, 2, 1], [2, 0, 2], [1, 1, 2]]"
O XO  X X,5,O XOO X X,"[[2, 0, 1], [2, 0, 0], [1, 0, 1]]","[[2, 0, 1], [2, 2, 0], [1, 0, 1]]"
OX  OO XX,7,OX  OOXXX,"[[2, 1, 0], [0, 2, 2], [0, 1, 1]]","[[2, 1, 0], [0, 2, 2], [1, 1, 1]]"
 X OO X X,6, X OOOX X,"[[0, 1, 0], [2, 2, 0], [1, 0, 1]]","[[0, 1, 0], [2, 2, 2], [1, 0, 1]]"
 OX X    ,7, OX X O  ,"[[0, 2, 1], [0, 1, 0], [0, 0, 0]]","[[0, 2, 1], [0, 1, 0], [2, 0, 0]]"
 X XO OX ,3, XOXO OX ,"[[0, 1, 0], [1, 2, 0], [2, 1, 0]]","[[0, 1, 2], [1, 2, 0], [2, 1, 0]]"
XOO   XXO,4,XOOX  XXO,"[[1, 2, 2], [0, 0, 0], [1, 1, 2]]","[[1, 2, 2], [1, 0, 0], [1, 1, 2]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
O     X  ,3,O X   X  ,"[[2, 0, 0], [0, 0, 0], [1, 0, 0]]","[[2, 0, 1], [0, 0, 0], [1, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
XO   OXX ,4,XO O OXX ,"[[1, 2, 0], [0, 0, 2], [1, 1, 0]]","[[1, 2, 0], [2, 0, 2], [1, 1, 0]]"
  XOX O  ,1,X XOX O  ,"[[0, 0, 1], [2, 1, 0], [2, 0, 0]]","[[1, 0, 1], [2, 1, 0], [2, 0, 0]]"
XOX XO   ,7,XOX XOO  ,"[[1, 2, 1], [0, 1, 2], [0, 0, 0]]","[[1, 2, 1], [0, 1, 2], [2, 0, 0]]"
 X OOXXO ,3, XXOOXXO ,"[[0, 1, 0], [2, 2, 1], [1, 2, 0]]","[[0, 1, 1], [2, 2, 1], [1, 2, 0]]"
X OOX X O,6,X OOXXX O,"[[1, 0, 2], [2, 1, 0], [1, 0, 2]]","[[1, 0, 2], [2, 1, 1], [1, 0, 2]]"
  X   X O,5,  X O X O,"[[0, 0, 1], [0, 0, 0], [1, 0, 2]]","[[0, 0, 1], [0, 2, 0], [1, 0, 2]]"
 O X XXOO,1,XO X XXOO,"[[0, 2, 0], [1, 0, 1], [1, 2, 2]]","[[1, 2, 0], [1, 0, 1], [1, 2, 2]]"
X OO  X X,5,X OOO X X,"[[1, 0, 2], [2, 0, 0], [1, 0, 1]]","[[1, 0, 2], [2, 2, 0], [1, 0, 1]]"
 X   OXXO,3, XO  OXXO,"[[0, 1, 0], [0, 0, 2], [1, 1, 2]]","[[0, 1, 2], [0, 0, 2], [1, 1, 2]]"
 XXX OO  ,1,OXXX OO  ,"[[0, 1, 1], [1, 0, 2], [2, 0, 0]]","[[2, 1, 1], [1, 0, 2], [2, 0, 0]]"
O   X O X,4,O  XX O X,"[[2, 0, 0], [0, 1, 0], [2, 0, 1]]","[[2, 0, 0], [1, 1, 0], [2, 0, 1]]"
X XO     ,2,XOXO     ,"[[1, 0, 1], [2, 0, 0], [0, 0, 0]]","[[1, 2, 1], [2, 0, 0], [0, 0, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
 X  O    ,5, X  X    ,"[[0, 1, 0], [0, 2, 0], [0, 0, 0]]","[[0, 1, 0], [0, 1, 0], [0, 0, 0]]"
XX     O ,3,XXO    O ,"[[1, 1, 0], [0, 0, 0], [0, 2, 0]]","[[1, 1, 2], [0, 0, 0], [0, 2, 0]]"
  O     X,5,  O X   X,"[[0, 0, 2], [0, 0, 0], [0, 0, 1]]","[[0, 0, 2], [0, 1, 0], [0, 0, 1]]"
OO XXO  X,3,OOXXXO  X,"[[2, 2, 0], [1, 1, 2], [0, 0, 1]]","[[2, 2, 1], [1, 1, 2], [0, 0, 1]]"
X  OX O  ,9,X  OX O X,"[[1, 0, 0], [2, 1, 0], [2, 0, 0]]","[[1, 0, 0], [2, 1, 0], [2, 0, 1]]"
X OOO  XX,7,X OOO XXX,"[[1, 0, 2], [2, 2, 0], [0, 1, 1]]","[[1, 0, 2], [2, 2, 0], [1, 1, 1]]"
 OO  X X ,1,XOO  X X ,"[[0, 2, 2], [0, 0, 1], [0, 1, 0]]","[[1, 2, 2], [0, 0, 1], [0, 1, 0]]"
 OX O X X,8, OX O XOX,"[[0, 2, 1], [0, 2, 0], [1, 0, 1]]","[[0, 2, 1], [0, 2, 0], [1, 2, 1]]"
  OOXO XX,1,X OOXO XX,"[[0, 0, 2], [2, 1, 2], [0, 1, 1]]","[[1, 0, 2], [2, 1, 2], [0, 1, 1]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
XOOX    X,5,XOOXO   X,"[[1, 2, 2], [1, 0, 0], [0, 0, 1]]","[[1, 2, 2], [1, 2, 0], [0, 0, 1]]"
XXO  OX  ,9,XXO  OX O,"[[1, 1, 2], [0, 0, 2], [1, 0, 0]]","[[1, 1, 2], [0, 0, 2], [1, 0, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
  XX O   ,1,O XX O   ,"[[0, 0, 1], [1, 0, 2], [0, 0, 0]]","[[2, 0, 1], [1, 0, 2], [0, 0, 0]]"
O      X ,1,X      X ,"[[2, 0, 0], [0, 0, 0], [0, 1, 0]]","[[1, 0, 0], [0, 0, 0], [0, 1, 0]]"
XOO X  X ,9,XOO X  XO,"[[1, 2, 2], [0, 1, 0], [0, 1, 0]]","[[1, 2, 2], [0, 1, 0], [0, 1, 2]]"
 XO    X ,5, XO O  X ,"[[0, 1, 2], [0, 0, 0], [0, 1, 0]]","[[0, 1, 2], [0, 2, 0], [0, 1, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
   X  X O,1,O  X  X O,"[[0, 0, 0], [1, 0, 0], [1, 0, 2]]","[[2, 0, 0], [1, 0, 0], [1, 0, 2]]"
  XXOX  O,1,O XXOX  O,"[[0, 0, 1], [1, 2, 1], [0, 0, 2]]","[[2, 0, 1], [1, 2, 1], [0, 0, 2]]"
X O   X  ,4,X OO  X  ,"[[1, 0, 2], [0, 0, 0], [1, 0, 0]]","[[1, 0, 2], [2, 0, 0], [1, 0, 0]]"
    XOXO ,3,  X XOXO ,"[[0, 0, 0], [0, 1, 2], [1, 2, 0]]","[[0, 0, 1], [0, 1, 2], [1, 2, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
   XOX O ,2, X XOX O ,"[[0, 0, 0], [1, 2, 1], [0, 2, 0]]","[[0, 1, 0], [1, 2, 1], [0, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X O XX  O,4,X OOXX  O,"[[1, 0, 2], [0, 1, 1], [0, 0, 2]]","[[1, 0, 2], [2, 1, 1], [0, 0, 2]]"
 OX O   X,6, OX OX  X,"[[0, 2, 1], [0, 2, 0], [0, 0, 1]]","[[0, 2, 1], [0, 2, 1], [0, 0, 1]]"
XO X   O ,7,XO X  XO ,"[[1, 2, 0], [1, 0, 0], [0, 2, 0]]","[[1, 2, 0], [1, 0, 0], [1, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X X O O  ,2,XXX O O  ,"[[1, 0, 1], [0, 2, 0], [2, 0, 0]]","[[1, 1, 1], [0, 2, 0], [2, 0, 0]]"
X O O   X,7,X O O X X,"[[1, 0, 2], [0, 2, 0], [0, 0, 1]]","[[1, 0, 2], [0, 2, 0], [1, 0, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
XO X     ,7,XO X  O  ,"[[1, 2, 0], [1, 0, 0], [0, 0, 0]]","[[1, 2, 0], [1, 0, 0], [2, 0, 0]]"
O  O XX  ,9,O  O XX X,"[[2, 0, 0], [2, 0, 1], [1, 0, 0]]","[[2, 0, 0], [2, 0, 1], [1, 0, 1]]"
OXXXO XO ,9,OXXXO XOO,"[[2, 1, 1], [1, 2, 0], [1, 2, 0]]","[[2, 1, 1], [1, 2, 0], [1, 2, 2]]"
  X  OX  ,5,  X OOX  ,"[[0, 0, 1], [0, 0, 2], [1, 0, 0]]","[[0, 0, 1], [0, 2, 2], [1, 0, 0]]"
  X   O  ,1,X X   O  ,"[[0, 0, 1], [0, 0, 0], [2, 0, 0]]","[[1, 0, 1], [0, 0, 0], [2, 0, 0]]"
XOXOXO XO,7,XOXOXOXXO,"[[1, 2, 1], [2, 1, 2], [0, 1, 2]]","[[1, 2, 1], [2, 1, 2], [1, 1, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
OOXX XO  ,5,OOXXXXO  ,"[[2, 2, 1], [1, 0, 1], [2, 0, 0]]","[[2, 2, 1], [1, 1, 1], [2, 0, 0]]"
  X     O,5,  X X   O,"[[0, 0, 1], [0, 0, 0], [0, 0, 2]]","[[0, 0, 1], [0, 1, 0], [0, 0, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
    O   X,5,    X   X,"[[0, 0, 0], [0, 2, 0], [0, 0, 1]]","[[0, 0, 0], [0, 1, 0], [0, 0, 1]]"
  XO   XO,3,  XO   XO,"[[0, 0, 1], [2, 0, 0], [0, 1, 2]]","[[0, 0, 1], [2, 0, 0], [0, 1, 2]]"
 O  O XX ,9, O  O XXX,"[[0, 2, 0], [0, 2, 0], [1, 1, 0]]","[[0, 2, 0], [0, 2, 0], [1, 1, 1]]"
OXXXOOXO ,9,OXXXOOXOX,"[[2, 1, 1], [1, 2, 2], [1, 2, 0]]","[[2, 1, 1], [1, 2, 2], [1, 2, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
X XXO OO ,2,XXXXO OO ,"[[1, 0, 1], [1, 2, 0], [2, 2, 0]]","[[1, 1, 1], [1, 2, 0], [2, 2, 0]]"
O  OX  X ,2,OX OX  X ,"[[2, 0, 0], [2, 1, 0], [0, 1, 0]]","[[2, 1, 0], [2, 1, 0], [0, 1, 0]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
 XXXOOXOO,1,XXXXOOXOO,"[[0, 1, 1], [1, 2, 2], [1, 2, 2]]","[[1, 1, 1], [1, 2, 2], [1, 2, 2]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
O O   XX ,9,O O   XXX,"[[2, 0, 2], [0, 0, 0], [1, 1, 0]]","[[2, 0, 2], [0, 0, 0], [1, 1, 1]]"
XX O    O,3,XXXO    O,"[[1, 1, 0], [2, 0, 0], [0, 0, 2]]","[[1, 1, 1], [2, 0, 0], [0, 0, 2]]"
  OXX X O,6,  OXXOX O,"[[0, 0, 2], [1, 1, 0], [1, 0, 2]]","[[0, 0, 2], [1, 1, 2], [1, 0, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
   XOXOXO,1,X  XOXOXO,"[[0, 0, 0], [1, 2, 1], [2, 1, 2]]","[[1, 0, 0], [1, 2, 1], [2, 1, 2]]"
 O  OXX X,8, O  OXXOX,"[[0, 2, 0], [0, 2, 1], [1, 0, 1]]","[[0, 2, 0], [0, 2, 1], [1, 2, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
    X O  ,7,    X X  ,"[[0, 0, 0], [0, 1, 0], [2, 0, 0]]","[[0, 0, 0], [0, 1, 0], [1, 0, 0]]"
  OXX XOO,1,X OXX XOO,"[[0, 0, 2], [1, 1, 0], [1, 2, 2]]","[[1, 0, 2], [1, 1, 0], [1, 2, 2]]"
XXOO    X,5,XXOOO   X,"[[1, 1, 2], [2, 0, 0], [0, 0, 1]]","[[1, 1, 2], [2, 2, 0], [0, 0, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
   OXXOXO,2, X OXXOXO,"[[0, 0, 0], [2, 1, 1], [2, 1, 2]]","[[0, 1, 0], [2, 1, 1], [2, 1, 2]]"
OO  XO XX,7,OO  XOXXX,"[[2, 2, 0], [0, 1, 2], [0, 1, 1]]","[[2, 2, 0], [0, 1, 2], [1, 1, 1]]"
X XXXOO O,8,X XXXOOOO,"[[1, 0, 1], [1, 1, 2], [2, 0, 2]]","[[1, 0, 1], [1, 1, 2], [2, 2, 2]]"
   OOXXOX,3,  XOOXXOX,"[[0, 0, 0], [2, 2, 1], [1, 2, 1]]","[[0, 0, 1], [2, 2, 1], [1, 2, 1]]"
