Input Board,decision,Output Board,Input Graph,Output Graph
X  XO  XO,7,X  XO OXO,"[[1, 0, 0], [1, 2, 0], [0, 1, 2]]","[[1, 0, 0], [1, 2, 0], [2, 1, 2]]"
X O X O  ,8,X O X OX ,"[[1, 0, 2], [0, 1, 0], [2, 0, 0]]","[[1, 0, 2], [0, 1, 0], [2, 1, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
OX  XOX O,3,OXX XOX O,"[[2, 1, 0], [0, 1, 2], [1, 0, 2]]","[[2, 1, 1], [0, 1, 2], [1, 0, 2]]"
  O XXO  ,1,X O XXO  ,"[[0, 0, 2], [0, 1, 1], [2, 0, 0]]","[[1, 0, 2], [0, 1, 1], [2, 0, 0]]"
OXX X OOX,4,OXXOX OOX,"[[2, 1, 1], [0, 1, 0], [2, 2, 1]]","[[2, 1, 1], [2, 1, 0], [2, 2, 1]]"
   OXOX  ,8,   OXOXX ,"[[0, 0, 0], [2, 1, 2], [1, 0, 0]]","[[0, 0, 0], [2, 1, 2], [1, 1, 0]]"
 OXO OX X,5, OXOXOX X,"[[0, 2, 1], [2, 0, 2], [1, 0, 1]]","[[0, 2, 1], [2, 1, 2], [1, 0, 1]]"
      X O,3,  X   X O,"[[0, 0, 0], [0, 0, 0], [1, 0, 2]]","[[0, 0, 1], [0, 0, 0], [1, 0, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
O O    XX,2,OXO    XX,"[[2, 0, 2], [0, 0, 0], [0, 1, 1]]","[[2, 1, 2], [0, 0, 0], [0, 1, 1]]"
O X X OOX,6,O X XXOOX,"[[2, 0, 1], [0, 1, 0], [2, 2, 1]]","[[2, 0, 1], [0, 1, 1], [2, 2, 1]]"
X O X XOO,4,X OXX XOO,"[[1, 0, 2], [0, 1, 0], [1, 2, 2]]","[[1, 0, 2], [1, 1, 0], [1, 2, 2]]"
OO X  X  ,5,OO XX X  ,"[[2, 2, 0], [1, 0, 0], [1, 0, 0]]","[[2, 2, 0], [1, 1, 0], [1, 0, 0]]"
 XX  OO  ,5, XX XOO  ,"[[0, 1, 1], [0, 0, 2], [2, 0, 0]]","[[0, 1, 1], [0, 1, 2], [2, 0, 0]]"
  XXOX O ,9,  XXOX OO,"[[0, 0, 1], [1, 2, 1], [0, 2, 0]]","[[0, 0, 1], [1, 2, 1], [0, 2, 2]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 XO OOXX ,9, XO OOXXX,"[[0, 1, 2], [0, 2, 2], [1, 1, 0]]","[[0, 1, 2], [0, 2, 2], [1, 1, 1]]"
X  OXO XO,2,XX OXO XO,"[[1, 0, 0], [2, 1, 2], [0, 1, 2]]","[[1, 1, 0], [2, 1, 2], [0, 1, 2]]"
X XOX   O,7,X XOX O O,"[[1, 0, 1], [2, 1, 0], [0, 0, 2]]","[[1, 0, 1], [2, 1, 0], [2, 0, 2]]"
 X   XO O,5, X  XXO O,"[[0, 1, 0], [0, 0, 1], [2, 0, 2]]","[[0, 1, 0], [0, 1, 1], [2, 0, 2]]"
O   O X X,3,O X O X X,"[[2, 0, 0], [0, 2, 0], [1, 0, 1]]","[[2, 0, 1], [0, 2, 0], [1, 0, 1]]"
  X O    ,6,  X OX   ,"[[0, 0, 1], [0, 2, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 1], [0, 0, 0]]"
OO XX  XO,3,OOXXX  XO,"[[2, 2, 0], [1, 1, 0], [0, 1, 2]]","[[2, 2, 1], [1, 1, 0], [0, 1, 2]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
O XX  X O,5,O XXO X O,"[[2, 0, 1], [1, 0, 0], [1, 0, 2]]","[[2, 0, 1], [1, 2, 0], [1, 0, 2]]"
   XO  X ,1,O  XO  X ,"[[0, 0, 0], [1, 2, 0], [0, 1, 0]]","[[2, 0, 0], [1, 2, 0], [0, 1, 0]]"
   O X   ,7,   O XX  ,"[[0, 0, 0], [2, 0, 1], [0, 0, 0]]","[[0, 0, 0], [2, 0, 1], [1, 0, 0]]"
O OX XX  ,5,O OXOXX  ,"[[2, 0, 2], [1, 0, 1], [1, 0, 0]]","[[2, 0, 2], [1, 2, 1], [1, 0, 0]]"
X  OX XOO,3,X XOX XOO,"[[1, 0, 0], [2, 1, 0], [1, 2, 2]]","[[1, 0, 1], [2, 1, 0], [1, 2, 2]]"
OXO  XXXO,5,OXO OXXXO,"[[2, 1, 2], [0, 0, 1], [1, 1, 2]]","[[2, 1, 2], [0, 2, 1], [1, 1, 2]]"
XOXOXXOO ,9,XOXOXXOOX,"[[1, 2, 1], [2, 1, 1], [2, 2, 0]]","[[1, 2, 1], [2, 1, 1], [2, 2, 1]]"
O    X  X,3,O O  X  X,"[[2, 0, 0], [0, 0, 1], [0, 0, 1]]","[[2, 0, 2], [0, 0, 1], [0, 0, 1]]"
XX  O XO ,9,XX  O XOO,"[[1, 1, 0], [0, 2, 0], [1, 2, 0]]","[[1, 1, 0], [0, 2, 0], [1, 2, 2]]"
XX  O  OX,3,XXO O  OX,"[[1, 1, 0], [0, 2, 0], [0, 2, 1]]","[[1, 1, 2], [0, 2, 0], [0, 2, 1]]"
XOOX   XO,6,XOOX X XO,"[[1, 2, 2], [1, 0, 0], [0, 1, 2]]","[[1, 2, 2], [1, 0, 1], [0, 1, 2]]"
 O    XXO,3, OX   XXO,"[[0, 2, 0], [0, 0, 0], [1, 1, 2]]","[[0, 2, 1], [0, 0, 0], [1, 1, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
 XO X    ,8, XO X  O ,"[[0, 1, 2], [0, 1, 0], [0, 0, 0]]","[[0, 1, 2], [0, 1, 0], [0, 2, 0]]"
 OX  XXO ,5, OX OXXO ,"[[0, 2, 1], [0, 0, 1], [1, 2, 0]]","[[0, 2, 1], [0, 2, 1], [1, 2, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
 OX O XX ,9, OX O XXO,"[[0, 2, 1], [0, 2, 0], [1, 1, 0]]","[[0, 2, 1], [0, 2, 0], [1, 1, 2]]"
OX XOX   ,7,OX XOXO  ,"[[2, 1, 0], [1, 2, 1], [0, 0, 0]]","[[2, 1, 0], [1, 2, 1], [2, 0, 0]]"
 OXOXO  X,7, OXOXOX X,"[[0, 2, 1], [2, 1, 2], [0, 0, 1]]","[[0, 2, 1], [2, 1, 2], [1, 0, 1]]"
O  O X X ,7,O  O XXX ,"[[2, 0, 0], [2, 0, 1], [0, 1, 0]]","[[2, 0, 0], [2, 0, 1], [1, 1, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
XOOX X O ,7,XOOX XXO ,"[[1, 2, 2], [1, 0, 1], [0, 2, 0]]","[[1, 2, 2], [1, 0, 1], [1, 2, 0]]"
O X XXOO ,9,O X XXOOX,"[[2, 0, 1], [0, 1, 1], [2, 2, 0]]","[[2, 0, 1], [0, 1, 1], [2, 2, 1]]"
    XOXXO,3,  O XOXXO,"[[0, 0, 0], [0, 1, 2], [1, 1, 2]]","[[0, 0, 2], [0, 1, 2], [1, 1, 2]]"
OX X X O ,5,OX XOX O ,"[[2, 1, 0], [1, 0, 1], [0, 2, 0]]","[[2, 1, 0], [1, 2, 1], [0, 2, 0]]"
 OOXO X X,8, OOXO XXX,"[[0, 2, 2], [1, 2, 0], [1, 0, 1]]","[[0, 2, 2], [1, 2, 0], [1, 1, 1]]"
     X OX,5,    OX OX,"[[0, 0, 0], [0, 0, 1], [0, 2, 1]]","[[0, 0, 0], [0, 2, 1], [0, 2, 1]]"
 XXO O OX,1,XXXO O OX,"[[0, 1, 1], [2, 0, 2], [0, 2, 1]]","[[1, 1, 1], [2, 0, 2], [0, 2, 1]]"
XOXO  XO ,5,XOXOX XO ,"[[1, 2, 1], [2, 0, 0], [1, 2, 0]]","[[1, 2, 1], [2, 1, 0], [1, 2, 0]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
O X XO OX,7,O X XOXOX,"[[2, 0, 1], [0, 1, 2], [0, 2, 1]]","[[2, 0, 1], [0, 1, 2], [1, 2, 1]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
 O    X X,5, O  O X X,"[[0, 2, 0], [0, 0, 0], [1, 0, 1]]","[[0, 2, 0], [0, 2, 0], [1, 0, 1]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
OOX  OX X,5,OOX XOX X,"[[2, 2, 1], [0, 0, 2], [1, 0, 1]]","[[2, 2, 1], [0, 1, 2], [1, 0, 1]]"
 X    O  ,1,XX    O  ,"[[0, 1, 0], [0, 0, 0], [2, 0, 0]]","[[1, 1, 0], [0, 0, 0], [2, 0, 0]]"
O XX OX  ,5,O XXOOX  ,"[[2, 0, 1], [1, 0, 2], [1, 0, 0]]","[[2, 0, 1], [1, 2, 2], [1, 0, 0]]"
OX XO  X ,3,OXOXO  X ,"[[2, 1, 0], [1, 2, 0], [0, 1, 0]]","[[2, 1, 2], [1, 2, 0], [0, 1, 0]]"
O  X     ,5,O  XX    ,"[[2, 0, 0], [1, 0, 0], [0, 0, 0]]","[[2, 0, 0], [1, 1, 0], [0, 0, 0]]"
 XOXOX OX,7, XOXOXOOX,"[[0, 1, 2], [1, 2, 1], [0, 2, 1]]","[[0, 1, 2], [1, 2, 1], [2, 2, 1]]"
       X ,7,      OX ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [2, 1, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
O XXX OO ,6,O XXXXOO ,"[[2, 0, 1], [1, 1, 0], [2, 2, 0]]","[[2, 0, 1], [1, 1, 1], [2, 2, 0]]"
O X X O X,4,O XOX O X,"[[2, 0, 1], [0, 1, 0], [2, 0, 1]]","[[2, 0, 1], [2, 1, 0], [2, 0, 1]]"
    O   X,7,    O X X,"[[0, 0, 0], [0, 2, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [1, 0, 1]]"
X      O ,7,X     XO ,"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 0], [0, 0, 0], [1, 2, 0]]"
XXOX  O  ,8,XXOX  OO ,"[[1, 1, 2], [1, 0, 0], [2, 0, 0]]","[[1, 1, 2], [1, 0, 0], [2, 2, 0]]"
OXXO O XX,7,OXXO OOXX,"[[2, 1, 1], [2, 0, 2], [0, 1, 1]]","[[2, 1, 1], [2, 0, 2], [2, 1, 1]]"
X XOXX OO,7,X XOXXOOO,"[[1, 0, 1], [2, 1, 1], [0, 2, 2]]","[[1, 0, 1], [2, 1, 1], [2, 2, 2]]"
OX    X  ,8,OX    XO ,"[[2, 1, 0], [0, 0, 0], [1, 0, 0]]","[[2, 1, 0], [0, 0, 0], [1, 2, 0]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
OXOX     ,5,OXOXX    ,"[[2, 1, 2], [1, 0, 0], [0, 0, 0]]","[[2, 1, 2], [1, 1, 0], [0, 0, 0]]"
OOXX OXOX,5,OOXXXOXOX,"[[2, 2, 1], [1, 0, 2], [1, 2, 1]]","[[2, 2, 1], [1, 1, 2], [1, 2, 1]]"
O XOX  X ,7,O XOX OX ,"[[2, 0, 1], [2, 1, 0], [0, 1, 0]]","[[2, 0, 1], [2, 1, 0], [2, 1, 0]]"
X  XOX  O,7,X  XOXO O,"[[1, 0, 0], [1, 2, 1], [0, 0, 2]]","[[1, 0, 0], [1, 2, 1], [2, 0, 2]]"
 OXXX  OO,6, OXXXX OO,"[[0, 2, 1], [1, 1, 0], [0, 2, 2]]","[[0, 2, 1], [1, 1, 1], [0, 2, 2]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
X X XOO  ,9,X X XOO O,"[[1, 0, 1], [0, 1, 2], [2, 0, 0]]","[[1, 0, 1], [0, 1, 2], [2, 0, 2]]"
 OXOX  XO,7, OXOX XXO,"[[0, 2, 1], [2, 1, 0], [0, 1, 2]]","[[0, 2, 1], [2, 1, 0], [1, 1, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
XX  O  O ,7,XX  O XO ,"[[1, 1, 0], [0, 2, 0], [0, 2, 0]]","[[1, 1, 0], [0, 2, 0], [1, 2, 0]]"
XO X   O ,5,XO XX  O ,"[[1, 2, 0], [1, 0, 0], [0, 2, 0]]","[[1, 2, 0], [1, 1, 0], [0, 2, 0]]"
 XOOX X O,8, XOOX XXO,"[[0, 1, 2], [2, 1, 0], [1, 0, 2]]","[[0, 1, 2], [2, 1, 0], [1, 1, 2]]"
O X O OXX,6,O X OXOXX,"[[2, 0, 1], [0, 2, 0], [2, 1, 1]]","[[2, 0, 1], [0, 2, 1], [2, 1, 1]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
OXXOXX  O,7,OXXOXXO O,"[[2, 1, 1], [2, 1, 1], [0, 0, 2]]","[[2, 1, 1], [2, 1, 1], [2, 0, 2]]"
OX XO O X,3,OXXXO O X,"[[2, 1, 0], [1, 2, 0], [2, 0, 1]]","[[2, 1, 1], [1, 2, 0], [2, 0, 1]]"
O  XXOXOX,3,O OXXOXOX,"[[2, 0, 0], [1, 1, 2], [1, 2, 1]]","[[2, 0, 2], [1, 1, 2], [1, 2, 1]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
XOOXX O  ,6,XOOXXXO  ,"[[1, 2, 2], [1, 1, 0], [2, 0, 0]]","[[1, 2, 2], [1, 1, 1], [2, 0, 0]]"
 OXO   X ,7, OXO  XX ,"[[0, 2, 1], [2, 0, 0], [0, 1, 0]]","[[0, 2, 1], [2, 0, 0], [1, 1, 0]]"
  XXX O O,8,  XXX OOO,"[[0, 0, 1], [1, 1, 0], [2, 0, 2]]","[[0, 0, 1], [1, 1, 0], [2, 2, 2]]"
  XO  X  ,5,  XOO X  ,"[[0, 0, 1], [2, 0, 0], [1, 0, 0]]","[[0, 0, 1], [2, 2, 0], [1, 0, 0]]"
 OO XX   ,1,XOO XX   ,"[[0, 2, 2], [0, 1, 1], [0, 0, 0]]","[[1, 2, 2], [0, 1, 1], [0, 0, 0]]"
XXOOXXOO ,9,XXOOXXOOX,"[[1, 1, 2], [2, 1, 1], [2, 2, 0]]","[[1, 1, 2], [2, 1, 1], [2, 2, 1]]"
OX   X   ,7,OX   XO  ,"[[2, 1, 0], [0, 0, 1], [0, 0, 0]]","[[2, 1, 0], [0, 0, 1], [2, 0, 0]]"
OOXX   OX,5,OOXXX  OX,"[[2, 2, 1], [1, 0, 0], [0, 2, 1]]","[[2, 2, 1], [1, 1, 0], [0, 2, 1]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
OXX OXOX ,4,OXXOOXOX ,"[[2, 1, 1], [0, 2, 1], [2, 1, 0]]","[[2, 1, 1], [2, 2, 1], [2, 1, 0]]"
OX     XO,5,OX  X  XO,"[[2, 1, 0], [0, 0, 0], [0, 1, 2]]","[[2, 1, 0], [0, 1, 0], [0, 1, 2]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
XXOO O  X,5,XXOOXO  X,"[[1, 1, 2], [2, 0, 2], [0, 0, 1]]","[[1, 1, 2], [2, 1, 2], [0, 0, 1]]"
   X     ,6,   X O   ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 2], [0, 0, 0]]"
    X XO ,3,  O X XO ,"[[0, 0, 0], [0, 1, 0], [1, 2, 0]]","[[0, 0, 2], [0, 1, 0], [1, 2, 0]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
    X O  ,9,    X O X,"[[0, 0, 0], [0, 1, 0], [2, 0, 0]]","[[0, 0, 0], [0, 1, 0], [2, 0, 1]]"
 X OOX  X,3, XOOOX  X,"[[0, 1, 0], [2, 2, 1], [0, 0, 1]]","[[0, 1, 2], [2, 2, 1], [0, 0, 1]]"
  X   O  ,1,X X   O  ,"[[0, 0, 1], [0, 0, 0], [2, 0, 0]]","[[1, 0, 1], [0, 0, 0], [2, 0, 0]]"
     XOXO,5,    XXOXO,"[[0, 0, 0], [0, 0, 1], [2, 1, 2]]","[[0, 0, 0], [0, 1, 1], [2, 1, 2]]"
